Team1,Team2,Score1,Score2,Date/Time,nb_matches1,nb_matches2,goals_past1,goals_past2,ratio_goals_past1,ratio_goals_past2,nb_wins1,nb_wins2,ratio_wins1,ratio_wins2,nb_losses1,nb_losses2,ratio_losses1,ratio_losses2,nb_draws1,nb_draws2,ratio_draws1,ratio_draws2,nb_wins_opp1,nb_wins_opp2,ratio_wins_opp1,ratio_wins_opp2,nb_losses_opp1,nb_losses_opp2,ratio_losses_opp1,ratio_losses_opp2,nb_draws_opp1,nb_draws_opp2,ratio_draws_opp1,ratio_draws_opp2,Ranks1,Ranks2,Points1,Points2,Year,Population1,Population2
Austria,Ukraine,3,0,2018-03-23 12:00:00,11,10,11,14,0.4074074074074074,0.6666666666666666,3,6,0.2727272727272727,0.6,3,6,0.2727272727272727,0.1,5,3,0.4545454545454545,0.3,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,29,35,815,781,2018,8613647.0,44170002.0
Ireland,Iceland,3,1,2018-03-22 20:30:00,8,9,10,21,0.4166666666666667,0.6363636363636364,4,5,0.5,0.5555555555555556,4,5,0.5,0.2222222222222222,0,2,0.0,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,32,22,798,910,2018,4790845.0,336938.0
Denmark,Panama,1,0,2018-03-22 20:00:00,11,3,16,7,0.5333333333333333,0.7,5,1,0.4545454545454545,0.3333333333333333,5,1,0.4545454545454545,0.3333333333333333,1,1,0.09090909090909093,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,12,55,1099,621,2018,5732713.0,4111706.0
Austria,Denmark,0,5,2018-03-22 19:30:00,10,10,11,11,0.5,0.44,3,4,0.3,0.4,3,4,0.2,0.5,5,1,0.5,0.1,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,29,12,815,1099,2018,8613647.0,5732713.0
Belgium,Turkey,0,2,2018-03-22 19:00:00,11,8,23,14,0.5476190476190477,0.56,6,3,0.5454545454545454,0.375,6,3,0.2727272727272727,0.375,2,2,0.18181818181818185,0.25,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,5,42,1325,735,2018,11513025.0,81086257.0
Italy,Norway,1,1,2018-03-22 18:30:00,16,9,41,8,0.6721311475409836,0.3636363636363637,11,2,0.6875,0.2222222222222222,11,2,0.25,0.5555555555555556,1,2,0.0625,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,14,59,1052,573,2018,59788104.0,5387342.0
Netherlands,Belgium,1,4,2018-03-22 18:30:00,15,10,40,19,0.7407407407407407,0.5135135135135135,10,5,0.6666666666666666,0.5,10,5,0.26666666666666666,0.3,1,2,0.06666666666666668,0.2,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5,20,5,952,1325,2018,17084531.0,11513025.0
Malta,Luxembourg,0,1,2018-03-22 18:00:00,3,4,1,9,0.1111111111111111,0.6923076923076923,1,3,0.3333333333333333,0.75,1,3,0.6666666666666666,0.25,0,0,0.0,0.0,0,1,0.0,1.0,1,0,1.0,0.0,0,0,0.0,0.0,184,83,66,407,2018,421387.0,591126.0
Algeria,Tanzania,4,1,2018-03-22 18:00:00,2,4,5,6,0.8333333333333334,0.6666666666666666,2,2,1.0,0.5,2,2,0.0,0.0,0,2,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,58,147,588,182,2018,41729942.0,58636512.0
Bahrain,Palestine,0,0,2018-03-22 17:00:00,5,1,3,2,0.5,1.0,1,1,0.2,1.0,1,1,0.2,0.0,3,0,0.6,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,115,80,282,434,2018,1442394.0,5061292.0
Slovenia,Ukraine,2,3,2018-03-22 15:30:00,7,9,7,11,0.35,0.6875,2,5,0.2857142857142857,0.5555555555555556,2,5,0.5714285714285714,0.1111111111111111,1,3,0.14285714285714285,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,69,35,522,781,2018,2073018.0,44170002.0
Malaysia,Mongolia,2,2,2018-03-22 13:45:00,2,2,1,2,0.25,0.25,0,0,0.0,0.0,0,0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,174,187,99,55,2018,31570576.0,3095592.0
Philippines,Fiji,3,2,2018-03-22 12:30:00,3,9,4,19,0.3076923076923077,0.7916666666666666,1,4,0.3333333333333333,0.4444444444444444,1,4,0.3333333333333333,0.1111111111111111,1,4,0.3333333333333333,0.4444444444444444,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,124,168,263,110,2018,105341062.0,907188.0
Moldova,Latvia,1,1,2018-03-22 12:00:00,9,7,4,5,0.25,0.19230769230769232,1,1,0.1111111111111111,0.14285714285714285,1,1,0.5555555555555556,0.8571428571428571,3,0,0.3333333333333333,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,167,132,111,233,2018,4044534.0,1935780.0
Antigua and Barbuda,Bermuda,3,2,2018-03-22 00:00:00,0,3,0,6,0.0,0.5,0,1,0.0,0.3333333333333333,0,1,0.0,0.3333333333333333,0,1,0.0,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,139,183,209,72,2018,94579.0,61070.0
Togo,Madagascar,0,0,2018-03-21 19:00:00,8,2,10,3,0.5263157894736842,0.6,3,1,0.375,0.5,3,1,0.5,0.0,1,1,0.125,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,122,108,266,309,2018,7889759.0,26326352.0
Liechtenstein,Andorra,0,1,2018-03-21 18:00:00,3,1,3,0,0.3333333333333333,0.0,1,0,0.3333333333333333,0.0,1,0,0.3333333333333333,1.0,1,0,0.3333333333333333,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,181,138,86,215,2018,38155.0,76953.0
Iraq,Qatar,2,3,2018-03-21 17:00:00,8,10,10,14,0.625,0.5,3,3,0.375,0.3,3,3,0.125,0.4,4,3,0.5,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,79,102,438,329,2018,39751312.0,2378373.0
Zambia,Zimbabwe,3,2,2018-03-21 17:00:00,5,2,6,1,0.75,0.25,2,0,0.4,0.0,2,0,0.0,0.5,3,1,0.6,0.5,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,74,103,468,323,2018,17772835.0,16713345.0
Jordan,Kuwait,1,0,2018-03-21 16:00:00,8,1,10,0,0.5882352941176471,0.0,2,0,0.25,0.0,2,0,0.25,0.0,4,1,0.5,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,107,189,313,52,2018,7985411.0,4176642.0
South Africa,Angola,2,1,2018-03-21 14:00:00,3,2,4,0,0.5714285714285714,0.0,1,0,0.3333333333333333,0.0,1,0,0.3333333333333333,0.5,1,1,0.3333333333333333,0.5,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,81,141,433,201,2018,55866711.0,27497645.0
Slovenia,Switzerland,2,1,2018-03-21 13:00:00,7,7,6,11,0.3333333333333333,0.7333333333333333,2,4,0.2857142857142857,0.5714285714285714,2,4,0.5714285714285714,0.14285714285714285,1,2,0.14285714285714285,0.2857142857142857,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,69,8,522,1190,2018,2073018.0,8523590.0
Laos,Cambodia,0,1,2018-03-21 12:00:00,3,5,1,4,0.08333333333333333,0.26666666666666666,0,0,0.0,0.0,0,0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,182,173,82,100,2018,7158246.0,16323953.0
Belgium,Turkey,1,2,2018-03-20 16:30:00,9,7,18,12,0.5294117647058824,0.5454545454545454,5,2,0.5555555555555556,0.2857142857142857,5,2,0.2222222222222222,0.42857142857142855,2,2,0.2222222222222222,0.2857142857142857,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5,42,1325,735,2018,11513025.0,81086257.0
Austria,Ukraine,0,2,2018-03-20 15:00:00,9,8,11,9,0.55,0.6428571428571429,3,4,0.3333333333333333,0.5,3,4,0.1111111111111111,0.125,5,3,0.5555555555555556,0.375,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,29,35,815,781,2018,8613647.0,44170002.0
Iran,Sierra Leone,4,0,2018-03-17 13:00:00,6,1,8,0,0.6666666666666666,0.0,4,0,0.6666666666666666,0.0,4,0,0.16666666666666666,1.0,1,0,0.16666666666666666,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,32,97,798,360,2018,81810283.0,6875056.0
Iraq,Saudi Arabia,4,1,2018-02-28 17:00:00,8,7,7,11,0.5833333333333334,0.4782608695652174,3,3,0.375,0.42857142857142855,3,3,0.125,0.5714285714285714,4,0,0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,79,63,438,543,2018,39751312.0,33299935.0
Saudi Arabia,Moldova,3,0,2018-02-26 18:30:00,6,9,8,6,0.4,0.4,2,2,0.3333333333333333,0.2222222222222222,2,2,0.6666666666666666,0.4444444444444444,0,3,0.0,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,63,167,543,111,2018,33299935.0,4044534.0
Portugal,Hungary,4,0,2018-02-21 12:00:00,15,10,36,10,0.6923076923076923,0.3448275862068966,10,2,0.6666666666666666,0.2,10,2,0.13333333333333333,0.6,3,2,0.2,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,3,53,1358,630,2018,10229432.0,9754429.0
Romania,Ireland,1,2,2018-02-15 12:00:00,10,7,9,8,0.32142857142857145,0.3809523809523809,2,3,0.2,0.42857142857142855,2,3,0.6,0.5714285714285714,2,0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,41,32,737,798,2018,19105089.0,4790845.0
Czech Republic,Italy,1,2,2018-02-15 11:00:00,24,15,43,39,0.5733333333333334,0.6724137931034483,13,10,0.5416666666666666,0.6666666666666666,13,10,0.3333333333333333,0.26666666666666666,3,1,0.125,0.06666666666666668,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,48,14,677,1052,2018,10563111.0,59788104.0
Poland,Norway,1,3,2018-02-13 18:00:00,10,9,8,5,0.42105263157894735,0.2631578947368421,3,1,0.3,0.1111111111111111,3,1,0.5,0.6666666666666666,2,2,0.2,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,7,59,1209,573,2018,38522728.0,5387342.0
Czech Republic,Romania,3,1,2018-02-13 15:00:00,23,8,40,8,0.5633802816901409,0.3478260869565217,12,2,0.5217391304347826,0.25,12,2,0.3478260869565217,0.5,3,2,0.13043478260869565,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,48,41,677,737,2018,10563111.0,19105089.0
Romania,Ireland,0,1,2018-02-13 15:00:00,8,7,8,8,0.3478260869565217,0.3333333333333333,2,2,0.25,0.2857142857142857,2,2,0.5,0.7142857142857143,2,0,0.25,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,41,32,737,798,2018,19105089.0,4790845.0
Czech Republic,Italy,1,2,2018-02-13 11:00:00,23,14,40,37,0.5555555555555556,0.6727272727272727,12,9,0.5217391304347826,0.6428571428571429,12,9,0.3478260869565217,0.2857142857142857,3,1,0.13043478260869565,0.07142857142857142,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,48,14,677,1052,2018,10563111.0,59788104.0
Romania,Poland,1,2,2018-02-11 18:00:00,7,10,7,6,0.35,0.375,2,2,0.2857142857142857,0.2,2,2,0.42857142857142855,0.5,2,3,0.2857142857142857,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,41,7,737,1209,2018,19105089.0,38522728.0
Czech Republic,Norway,1,0,2018-02-11 15:00:00,22,10,39,7,0.5492957746478874,0.3181818181818182,11,1,0.5,0.1,11,1,0.3636363636363637,0.5,3,4,0.13636363636363635,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,48,59,677,573,2018,10563111.0,5387342.0
Romania,Norway,1,1,2018-02-09 16:00:00,6,10,6,8,0.3333333333333333,0.3478260869565217,2,2,0.3333333333333333,0.2,2,2,0.5,0.5,1,3,0.16666666666666666,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,41,59,737,573,2018,19105089.0,5387342.0
Czech Republic,Poland,2,0,2018-02-09 13:00:00,21,9,37,6,0.5362318840579711,0.42857142857142855,10,2,0.4761904761904762,0.2222222222222222,10,2,0.3809523809523809,0.4444444444444444,3,3,0.14285714285714285,0.3333333333333333,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,48,7,677,1209,2018,10563111.0,38522728.0
South Korea,Latvia,1,0,2018-02-03 15:30:00,8,6,9,5,0.4090909090909091,0.2,2,1,0.25,0.16666666666666666,2,1,0.375,0.8333333333333334,3,0,0.375,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,126,132,255,233,2018,50896594.0,1935780.0
Spain,Japan,2,0,2018-02-02 19:30:00,8,9,21,12,0.7,0.4615384615384616,5,3,0.625,0.3333333333333333,5,3,0.125,0.4444444444444444,2,2,0.25,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,6,57,1231,600,2018,46116884.0,125738357.0
Mexico,Bosnia and Herzegovina,1,0,2018-02-01 03:00:00,7,5,12,10,0.631578947368421,0.8333333333333334,5,3,0.7142857142857143,0.6,5,3,0.14285714285714285,0.0,1,2,0.14285714285714285,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,16,37,1032,753,2018,131788271.0,3782297.0
Japan,Czech Republic,1,0,2018-01-31 17:00:00,8,21,11,38,0.44,0.5507246376811594,2,11,0.25,0.5238095238095238,2,11,0.5,0.3333333333333333,2,3,0.25,0.14285714285714285,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,57,48,600,677,2018,125738357.0,10563111.0
Greece,Hungary,0,0,2018-01-31 10:00:00,9,9,16,10,0.6666666666666666,0.3448275862068966,7,2,0.7777777777777778,0.2222222222222222,7,2,0.2222222222222222,0.6666666666666666,0,1,0.0,0.1111111111111111,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,47,53,680,630,2018,10871762.0,9754429.0
Azerbaijan,Moldova,0,0,2018-01-30 17:00:00,4,8,3,6,0.2,0.4,1,2,0.25,0.25,1,2,0.75,0.5,0,2,0.0,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,117,167,281,111,2018,10070075.0,4044534.0
South Korea,Jamaica,2,2,2018-01-30 12:00:00,7,6,7,6,0.3888888888888889,0.3333333333333333,2,2,0.2857142857142857,0.3333333333333333,2,2,0.42857142857142855,0.6666666666666666,2,0,0.2857142857142857,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,126,54,255,625,2018,50896594.0,2822897.0
United States,Bosnia and Herzegovina,0,0,2018-01-29 03:30:00,7,4,6,10,0.4615384615384616,0.8333333333333334,2,3,0.2857142857142857,0.75,2,3,0.2857142857142857,0.0,3,1,0.42857142857142855,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,24,37,867,753,2018,328835763.0,3782297.0
South Korea,Moldova,1,0,2018-01-27 14:00:00,6,7,6,6,0.35294117647058826,0.42857142857142855,1,2,0.16666666666666666,0.2857142857142857,1,2,0.5,0.42857142857142855,2,2,0.3333333333333333,0.2857142857142857,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,126,167,255,111,2018,50896594.0,4044534.0
Cyprus,Denmark,0,1,2018-01-16 14:00:00,17,10,9,16,0.225,0.5333333333333333,3,4,0.17647058823529413,0.4,3,4,0.7647058823529411,0.5,1,1,0.05882352941176471,0.1,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,91,12,373,1099,2018,1198198.0,5732713.0
Portugal,Turkey,2,1,2018-01-15 17:00:00,20,7,44,13,0.7096774193548387,0.5416666666666666,12,2,0.6,0.2857142857142857,12,2,0.15,0.42857142857142855,5,2,0.25,0.2857142857142857,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,3,42,1358,735,2018,10229432.0,81086257.0
Jordan,Denmark,3,2,2018-01-15 14:00:00,8,9,8,14,0.6153846153846154,0.56,2,4,0.25,0.4444444444444444,2,4,0.25,0.4444444444444444,4,1,0.5,0.1111111111111111,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,107,12,313,1099,2018,7985411.0,5732713.0
Indonesia,Iceland,1,4,2018-01-14 13:00:00,10,10,15,18,0.5172413793103449,0.5454545454545454,5,4,0.5,0.4,5,4,0.3,0.4,2,2,0.2,0.2,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,162,22,121,910,2018,266357298.0,336938.0
Sweden,Denmark,1,0,2018-01-11 17:45:00,9,8,19,14,0.6551724137931034,0.5833333333333334,4,4,0.4444444444444444,0.5,4,4,0.2222222222222222,0.375,3,1,0.3333333333333333,0.125,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,18,12,998,1099,2018,9987062.0,5732713.0
Greece,Slovakia,1,0,2018-01-11 14:00:00,8,12,15,14,0.6521739130434783,0.3684210526315789,6,4,0.75,0.3333333333333333,6,4,0.25,0.5,0,2,0.0,0.16666666666666666,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5,47,28,680,817,2018,10871762.0,5434237.0
Jordan,Finland,1,2,2018-01-11 13:30:00,7,14,7,12,0.7,0.32432432432432434,2,3,0.2857142857142857,0.21428571428571427,2,3,0.14285714285714285,0.42857142857142855,4,5,0.5714285714285714,0.35714285714285715,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,107,66,313,531,2018,7985411.0,5556439.0
Indonesia,Iceland,0,6,2018-01-11 12:30:00,9,9,15,12,0.6521739130434783,0.4444444444444444,5,3,0.5555555555555556,0.3333333333333333,5,3,0.2222222222222222,0.4444444444444444,2,2,0.2222222222222222,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,162,22,121,910,2018,266357298.0,336938.0
Greece,Slovakia,1,2,2018-01-09 14:00:00,7,11,14,12,0.7,0.3428571428571429,6,3,0.8571428571428571,0.2727272727272727,6,3,0.14285714285714285,0.5454545454545454,0,2,0.0,0.18181818181818185,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,47,28,680,817,2018,10871762.0,5434237.0
Sweden,Estonia,1,1,2018-01-07 18:15:00,9,9,19,13,0.6333333333333333,0.7222222222222222,4,6,0.4444444444444444,0.6666666666666666,4,6,0.3333333333333333,0.1111111111111111,2,2,0.2222222222222222,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,18,89,998,397,2018,9987062.0,1302401.0
Jordan,Libya,1,1,2017-12-25 16:00:00,6,3,6,1,0.75,0.25,2,0,0.3333333333333333,0.0,2,0,0.16666666666666666,0.6666666666666666,3,1,0.5,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,107,88,313,399,2017,7876703.0,6408742.0
Bahrain,Kuwait,0,0,2017-12-18 16:00:00,4,0,3,0,0.5,0.0,1,0,0.25,0.0,1,0,0.25,0.0,2,0,0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,133,168,232,118,2017,1418895.0,4099932.0
United Arab Emirates,Iraq,1,0,2017-12-17 15:10:00,3,7,5,7,0.8333333333333334,0.6363636363636364,2,3,0.6666666666666666,0.42857142857142855,2,3,0.3333333333333333,0.0,0,4,0.0,0.5714285714285714,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,75,120,450,280,2017,9397599.0,38654287.0
Oman,Yemen,1,0,2017-12-15 13:30:00,3,2,4,0,0.6666666666666666,0.0,1,0,0.3333333333333333,0.0,1,0,0.0,1.0,2,0,0.6666666666666666,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,118,124,285,268,2017,4741305.0,28119546.0
Vanuatu,Solomon Islands,3,2,2017-12-15 05:00:00,5,6,18,16,0.8571428571428571,0.8888888888888888,3,3,0.6,0.5,3,3,0.2,0.16666666666666666,1,2,0.2,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,179,180,94,90,2017,276331.0,606384.0
Fiji,New Caledonia,4,1,2017-12-15 02:00:00,8,5,15,7,0.7894736842105263,0.4666666666666667,3,1,0.375,0.2,3,1,0.125,0.6,4,1,0.5,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,181,162,87,133,2017,902547.0,269736.0
Tuvalu,Tonga,4,3,2017-12-14 23:00:00,4,4,2,2,0.07407407407407407,0.08695652173913042,1,0,0.25,0.0,1,0,0.75,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,206,0,0,2017,11192.0,107850.0
Qatar,Liechtenstein,1,2,2017-12-14 15:30:00,11,2,15,1,0.5,0.16666666666666666,3,0,0.2727272727272727,0.0,3,0,0.3636363636363637,0.5,4,1,0.3636363636363637,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,88,186,374,69,2017,2338085.0,37922.0
Israel,Germany,0,0,2017-12-14 14:00:00,11,15,15,18,0.6521739130434783,0.6,6,6,0.5454545454545454,0.4,6,6,0.18181818181818185,0.26666666666666666,3,5,0.2727272727272727,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,55,3,635,1511,2017,8323248.0,80417526.0
Thailand,Myanmar,0,1,2017-12-14 10:00:00,5,7,7,10,0.5833333333333334,0.4761904761904762,3,4,0.6,0.5714285714285714,3,4,0.2,0.2857142857142857,1,1,0.2,0.14285714285714285,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,127,163,249,132,2017,68297547.0,54836483.0
Italy,Romania,0,0,2017-12-13 14:30:00,14,5,37,6,0.6607142857142857,0.3333333333333333,9,2,0.6428571428571429,0.4,9,2,0.35714285714285715,0.6,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,12,46,1193,686,2017,59797978.0,18689966.0
New Caledonia,Solomon Islands,0,1,2017-12-12 09:00:00,4,5,7,15,0.5,0.8823529411764706,1,2,0.25,0.4,1,2,0.5,0.2,1,2,0.25,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,162,180,133,90,2017,269736.0,606384.0
Vanuatu,Tuvalu,10,0,2017-12-12 05:00:00,4,3,8,2,0.7272727272727273,0.1176470588235294,2,1,0.5,0.3333333333333333,2,1,0.25,0.6666666666666666,1,0,0.25,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,179,0,94,0,2017,276331.0,11192.0
Fiji,Tonga,4,0,2017-12-12 02:00:00,7,3,11,2,0.7333333333333333,0.10526315789473684,2,0,0.2857142857142857,0.0,2,0,0.14285714285714285,1.0,4,0,0.5714285714285714,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,181,206,87,0,2017,902547.0,107850.0
Israel,Serbia,1,0,2017-12-11 10:00:00,11,15,14,21,0.5384615384615384,0.5526315789473685,5,7,0.4545454545454545,0.4666666666666667,5,7,0.2727272727272727,0.3333333333333333,3,3,0.2727272727272727,0.2,0,1,0.0,0.5,1,0,0.5,0.0,1,1,0.5,0.5,55,50,635,666,2017,8323248.0,8776940.0
Thailand,Japan,2,1,2017-12-09 14:00:00,4,7,5,10,0.5555555555555556,0.4545454545454545,2,2,0.5,0.2857142857142857,2,2,0.25,0.42857142857142855,1,2,0.25,0.2857142857142857,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,127,45,249,689,2017,68297547.0,126045211.0
Vietnam,Myanmar,4,0,2017-12-09 10:00:00,1,6,1,10,0.2,0.5882352941176471,0,4,0.0,0.6666666666666666,0,4,1.0,0.16666666666666666,0,1,0.0,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,131,163,235,132,2017,95414640.0,54836483.0
Solomon Islands,Tuvalu,6,0,2017-12-09 05:00:00,4,2,9,2,0.8181818181818182,0.18181818181818185,1,1,0.25,0.5,1,1,0.25,0.5,2,0,0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,180,0,90,0,2017,606215.0,11192.0
Vanuatu,Fiji,1,1,2017-12-09 02:00:00,3,6,7,10,0.7777777777777778,0.7692307692307693,2,2,0.6666666666666666,0.3333333333333333,2,2,0.3333333333333333,0.16666666666666666,0,3,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,179,181,94,87,2017,276331.0,894464.0
Tonga,New Caledonia,2,4,2017-12-08 23:00:00,2,3,0,3,0.0,0.375,0,0,0.0,0.0,0,0,1.0,0.6666666666666666,0,1,0.0,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,206,162,0,133,2017,107797.0,269736.0
Indonesia,Kyrgyzstan,0,1,2017-12-06 10:00:00,8,4,15,10,0.6818181818181818,0.5555555555555556,5,2,0.625,0.5,5,2,0.125,0.25,2,1,0.25,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,175,132,105,233,2017,263510146.0,6167147.0
Vanuatu,Tonga,5,0,2017-12-06 09:00:00,2,1,2,0,0.5,0.0,1,0,0.5,0.0,1,0,0.5,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,179,206,94,0,2017,276331.0,107850.0
Solomon Islands,Fiji,0,0,2017-12-06 06:00:00,3,5,9,10,0.8181818181818182,0.7692307692307693,1,2,0.3333333333333333,0.4,1,2,0.3333333333333333,0.2,1,2,0.3333333333333333,0.4,0,1,0.0,0.5,1,0,0.5,0.0,1,1,0.5,0.5,180,181,90,87,2017,606215.0,894464.0
Tuvalu,New Caledonia,2,1,2017-12-05 09:00:00,1,2,0,2,0.0,0.4,0,0,0.0,0.0,0,0,1.0,0.5,0,1,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,162,0,133,2017,11192.0,269736.0
Indonesia,Mongolia,3,2,2017-12-04 15:30:00,7,1,12,0,0.7058823529411765,0.0,4,0,0.5714285714285714,0.0,4,0,0.14285714285714285,1.0,2,0,0.2857142857142857,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,175,197,105,34,2017,263510146.0,3051900.0
Brunei,Kyrgyzstan,0,4,2017-12-04 10:00:00,1,3,0,6,0.0,0.42857142857142855,0,1,0.0,0.3333333333333333,0,1,1.0,0.3333333333333333,0,1,0.0,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,188,132,65,233,2017,434448.0,6167147.0
Benin,Congo,1,3,2017-12-03 16:00:00,9,6,10,5,0.5263157894736842,0.35714285714285715,2,1,0.2222222222222222,0.16666666666666666,2,1,0.1111111111111111,0.6666666666666666,6,1,0.6666666666666666,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,81,39,427,728,2017,11458611.0,4905626.0
