Team1,Team2,Score1,Score2,Date/Time
Norway,Finland,2,0,2016-03-29 20:00:00
Greece,Iceland,2,3,2016-03-29 19:30:00
Georgia,Kazakhstan,1,1,2016-03-29 19:00:00
Estonia,Serbia,0,1,2016-03-29 18:00:00
Montenegro,Belarus,0,0,2016-03-29 18:00:00
Germany,South Korea,1,0,2016-03-29 12:00:00
Northern Ireland,Slovenia,1,0,2016-03-28 20:45:00
Spain,Norway,1,0,2016-03-28 20:30:00
Ukraine,Wales,1,0,2016-03-28 20:00:00
Netherlands,Serbia,1,0,2016-03-28 18:30:00
Sierra Leone,Gabon,1,0,2016-03-28 18:30:00
Andorra,Moldova,0,1,2016-03-28 17:00:00
Brazil,South Africa,3,1,2016-03-27 23:30:00
Romania,Spain,0,0,2016-03-27 20:45:00
England,Canada,1,2,2016-03-27 17:00:00
Thailand,South Korea,0,1,2016-03-27 14:30:00
Latvia,Norway,0,3,2016-03-27 14:00:00
Estonia,Lithuania,0,1,2016-03-27 12:00:00
Ukraine,Poland,1,0,2016-03-27 10:00:00
Solomon Islands,Papua New Guinea,1,2,2016-03-27 05:00:00
Germany,England,2,3,2016-03-26 20:45:00
Hungary,Croatia,1,1,2016-03-26 18:00:00
Austria,Albania,2,1,2016-03-26 17:30:00
Poland,Finland,5,0,2016-03-26 17:30:00
Russia,Lithuania,3,0,2016-03-26 17:00:00
Azerbaijan,Kazakhstan,0,1,2016-03-26 16:00:00
Switzerland,Germany,1,1,2016-03-26 16:00:00
Norway,Poland,1,1,2016-03-26 14:00:00
Poland,Belarus,3,0,2016-03-26 14:00:00
Vanuatu,New Caledonia,2,1,2016-03-26 05:00:00
Portugal,Bulgaria,0,1,2016-03-25 21:45:00
Ireland,Switzerland,1,0,2016-03-25 20:45:00
Netherlands,France,2,3,2016-03-25 20:45:00
Slovakia,Latvia,0,0,2016-03-25 20:30:00
Luxembourg,Bosnia and Herzegovina,0,3,2016-03-25 20:15:00
Netherlands,Norway,1,0,2016-03-25 18:30:00
Armenia,Belarus,0,0,2016-03-25 16:00:00
Gabon,Sierra Leone,2,1,2016-03-25 15:30:00
Estonia,Lithuania,1,1,2016-03-25 12:00:00
Czech Republic,Scotland,0,1,2016-03-24 20:45:00
Italy,Spain,1,1,2016-03-24 20:45:00
Wales,Northern Ireland,1,1,2016-03-24 20:45:00
Denmark,Iceland,2,1,2016-03-24 20:00:00
Ukraine,Cyprus,1,0,2016-03-24 20:00:00
Turkey,Sweden,2,1,2016-03-24 19:45:00
Greece,Montenegro,2,1,2016-03-24 19:00:00
Estonia,Norway,0,0,2016-03-24 18:00:00
Portugal,Netherlands,1,1,2016-03-24 16:00:00
Austria,Ukraine,0,1,2016-03-24 15:00:00
Malta,Moldova,0,0,2016-03-24 15:00:00
Singapore,Myanmar,2,1,2016-03-24 12:45:00
Paraguay,Uruguay,2,2,2016-03-24 12:00:00
Solomon Islands,Papua New Guinea,2,0,2016-03-24 06:00:00
Poland,Serbia,1,0,2016-03-23 20:45:00
Gibraltar,Liechtenstein,0,0,2016-03-23 20:00:00
Romania,Lithuania,1,0,2016-03-23 19:00:00
Austria,England,2,3,2016-03-23 18:30:00
Croatia,Israel,2,0,2016-03-23 18:00:00
Poland,Finland,1,0,2016-03-23 18:00:00
Slovakia,Estonia,4,0,2016-03-23 17:30:00
Poland,Italy,0,3,2016-03-23 17:00:00
Germany,Switzerland,1,1,2016-03-23 15:00:00
Paraguay,Uruguay,4,3,2016-03-22 22:00:00
Grenada,Trinidad and Tobago,2,2,2016-03-20 01:00:00
United Arab Emirates,Bangladesh,6,1,2016-03-18 16:00:00
Iraq,Syria,0,1,2016-03-18 12:00:00
Nicaragua,Panama,1,0,2016-03-16 02:30:00
Romania,Finland,2,1,2016-03-10 15:00:00
Nicaragua,El Salvador,1,1,2016-03-10 02:30:00
Switzerland,Ukraine,3,0,2016-03-09 18:00:00
Italy,Switzerland,1,1,2016-03-09 14:30:00
Guatemala,El Salvador,1,0,2016-03-03 03:00:00
Ireland,Switzerland,1,1,2016-03-01 20:45:00
Montenegro,Georgia,2,0,2016-03-01 14:30:00
Azerbaijan,Ukraine,0,2,2016-03-01 13:00:00
Egypt,Burkina Faso,2,0,2016-02-27 17:00:00
Serbia,Bulgaria,3,3,2016-02-25 14:00:00
Azerbaijan,Russia,1,0,2016-02-25 13:00:00
Turkey,Czech Republic,2,3,2016-02-25 13:00:00
Slovenia,Austria,1,1,2016-02-25 12:00:00
Croatia,Slovakia,0,2,2016-02-25 11:30:00
Bulgaria,Serbia,0,2,2016-02-24 15:00:00
Slovenia,Austria,0,0,2016-02-23 15:00:00
Croatia,Slovakia,3,1,2016-02-23 14:00:00
Guyana,Suriname,2,0,2016-02-22 01:30:00
Saint Kitts and Nevis,Bermuda,3,0,2016-02-22 01:00:00
Italy,Serbia,4,2,2016-02-18 11:00:00
Panama,El Salvador,1,0,2016-02-18 02:30:00
Israel,Romania,1,0,2016-02-15 16:00:00
Norway,Portugal,1,2,2016-02-15 16:00:00
Poland,Slovakia,0,1,2016-02-15 13:00:00
Sweden,Norway,2,0,2016-02-14 16:00:00
Czech Republic,Turkey,1,1,2016-02-14 13:00:00
Uzbekistan,Lebanon,2,0,2016-02-14 13:00:00
Norway,Poland,2,3,2016-02-13 16:00:00
Portugal,Slovakia,1,1,2016-02-13 13:00:00
Czech Republic,Sweden,1,2,2016-02-12 16:00:00
Turkey,Norway,1,0,2016-02-12 13:00:00
Poland,Portugal,2,2,2016-02-11 16:00:00
Slovakia,Norway,0,1,2016-02-11 13:00:00
Guatemala,Honduras,3,1,2016-02-11 03:00:00
Mexico,Senegal,2,0,2016-02-11 02:36:00
Portugal,Germany,0,5,2016-02-09 16:00:00
England,Netherlands,0,2,2016-02-09 15:00:00
United States,Canada,1,0,2016-02-06 04:15:00
Portugal,England,1,1,2016-02-05 16:30:00
Bahrain,Lebanon,2,0,2016-02-05 16:00:00
Netherlands,Germany,0,1,2016-02-05 15:30:00
Greece,Czech Republic,0,1,2016-02-04 14:30:00
Venezuela,Costa Rica,1,0,2016-02-03 01:00:00
Greece,Czech Republic,1,1,2016-02-02 14:30:00
United States,Iceland,3,2,2016-01-31 21:45:00
Egypt,Libya,2,0,2016-01-29 17:00:00
Nicaragua,Honduras,1,3,2016-01-28 02:00:00
Egypt,Jordan,0,1,2016-01-27 17:00:00
Slovakia,Finland,2,1,2016-01-24 13:00:00
Slovakia,Russia,2,1,2016-01-22 14:30:00
Spain,Italy,1,2,2016-01-20 20:00:00
Slovakia,Belarus,0,1,2016-01-20 16:45:00
Maldives,Nepal,1,4,2016-01-19 13:30:00
Iran,Slovakia,2,3,2016-01-18 15:30:00
Latvia,Slovakia,1,1,2016-01-17 15:20:00
United Arab Emirates,Iceland,2,1,2016-01-16 15:20:00
Finland,Iceland,0,1,2016-01-13 17:00:00
Uganda,Cameroon,0,0,2016-01-13 14:00:00
Nigeria,Cote d'Ivoire,1,0,2016-01-11 15:00:00
Maldives,Cambodia,3,2,2016-01-11 10:45:00
Rwanda,Congo,1,0,2016-01-10 17:00:00
Finland,Sweden,0,3,2016-01-10 15:45:00
Uganda,Gabon,1,1,2016-01-10 13:00:00
Saudi Arabia,South Korea,0,0,2016-01-07 15:20:00
Japan,Vietnam,2,0,2016-01-07 14:30:00
Sweden,Estonia,1,1,2016-01-06 16:45:00
Rwanda,Cameroon,1,1,2016-01-06 14:30:00
Mauritania,Guinea,2,0,2017-03-24 17:00:00
Uganda,Sao Tome and Principe,3,1,2017-03-24 14:55:00
Nicaragua,Cuba,3,1,2017-03-23 01:30:00
Dominican Republic,Turks and Caicos Islands,4,0,2017-03-23 00:00:00
Guinea-Bissau,Burkina Faso,0,2,2017-03-22 14:00:00
Jordan,Libya,1,1,2017-12-25 16:00:00
Bahrain,Kuwait,0,0,2017-12-18 16:00:00
United Arab Emirates,Iraq,1,0,2017-12-17 15:10:00
Oman,Yemen,1,0,2017-12-15 13:30:00
Vanuatu,Solomon Islands,3,2,2017-12-15 05:00:00
Fiji,New Caledonia,4,1,2017-12-15 02:00:00
Tuvalu,Tonga,4,3,2017-12-14 23:00:00
Qatar,Liechtenstein,1,2,2017-12-14 15:30:00
Israel,Germany,0,0,2017-12-14 14:00:00
Thailand,Myanmar,0,1,2017-12-14 10:00:00
Italy,Romania,0,0,2017-12-13 14:30:00
New Caledonia,Solomon Islands,0,1,2017-12-12 09:00:00
Vanuatu,Tuvalu,10,0,2017-12-12 05:00:00
Fiji,Tonga,4,0,2017-12-12 02:00:00
Israel,Serbia,1,0,2017-12-11 10:00:00
Thailand,Japan,2,1,2017-12-09 14:00:00
Vietnam,Myanmar,4,0,2017-12-09 10:00:00
Solomon Islands,Tuvalu,6,0,2017-12-09 05:00:00
Vanuatu,Fiji,1,1,2017-12-09 02:00:00
Tonga,New Caledonia,2,4,2017-12-08 23:00:00
Indonesia,Kyrgyzstan,0,1,2017-12-06 10:00:00
Vanuatu,Tonga,5,0,2017-12-06 09:00:00
Solomon Islands,Fiji,0,0,2017-12-06 06:00:00
Tuvalu,New Caledonia,2,1,2017-12-05 09:00:00
Indonesia,Mongolia,3,2,2017-12-04 15:30:00
Brunei,Kyrgyzstan,0,4,2017-12-04 10:00:00
Benin,Congo,1,3,2017-12-03 16:00:00
Saint Kitts and Nevis,Grenada,1,0,2017-12-03 01:00:00
Indonesia,Brunei,4,0,2017-12-02 13:30:00
Kyrgyzstan,Mongolia,3,0,2017-12-02 10:00:00
New Caledonia,Vanuatu,1,2,2017-12-02 05:00:00
Tonga,Solomon Islands,0,8,2017-12-02 02:00:00
Fiji,Tuvalu,8,0,2017-12-01 23:00:00
Laos,Philippines,1,3,2017-12-01 09:00:00
New Caledonia,Estonia,1,1,2017-11-26 07:00:00
Indonesia,Guyana,2,1,2017-11-25 12:30:00
Vanuatu,Estonia,0,1,2017-11-23 04:00:00
Fiji,Estonia,0,2,2017-11-19 03:00:00
Trinidad and Tobago,Guyana,1,1,2017-11-15 00:30:00
Portugal,United States,1,1,2017-11-14 21:45:00
England,Brazil,0,0,2017-11-14 21:00:00
Austria,Uruguay,2,1,2017-11-14 20:45:00
Belgium,Japan,1,0,2017-11-14 20:45:00
Germany,France,2,2,2017-11-14 20:45:00
Wales,Panama,1,1,2017-11-14 20:45:00
Algeria,Central African Republic,3,0,2017-11-14 20:30:00
Hungary,Costa Rica,1,0,2017-11-14 20:15:00
England,Germany,2,1,2017-11-14 20:00:00
Romania,Netherlands,0,3,2017-11-14 20:00:00
Russia,Spain,3,3,2017-11-14 19:45:00
Italy,Russia,3,2,2017-11-14 18:30:00
Slovakia,Norway,1,0,2017-11-14 18:00:00
Argentina,Nigeria,2,4,2017-11-14 17:30:00
Qatar,Iceland,1,1,2017-11-14 17:30:00
Portugal,Spain,2,1,2017-11-14 17:00:00
Gabon,Botswana,0,0,2017-11-14 15:30:00
United Arab Emirates,Uzbekistan,1,0,2017-11-14 14:00:00
China,Colombia,0,4,2017-11-14 12:35:00
South Korea,Serbia,1,1,2017-11-14 12:00:00
Poland,Mexico,0,1,2017-11-13 20:45:00
Turkey,Albania,2,3,2017-11-13 18:30:00
Bulgaria,Saudi Arabia,1,0,2017-11-13 18:00:00
Czech Republic,Ireland,4,1,2017-11-13 17:00:00
Iraq,Syria,1,1,2017-11-13 16:00:00
Armenia,Cyprus,3,2,2017-11-13 15:00:00
Georgia,Belarus,2,2,2017-11-13 15:00:00
Venezuela,Iran,0,1,2017-11-13 15:00:00
Serbia,Netherlands,0,2,2017-11-13 14:00:00
Belgium,Netherlands,1,4,2017-11-13 13:00:00
Togo,Mauritius,6,0,2017-11-12 16:30:00
Benin,Tanzania,1,1,2017-11-12 16:00:00
Malta,Estonia,0,3,2017-11-12 15:00:00
Cyprus,Germany,0,3,2017-11-12 13:30:00
Trinidad and Tobago,Grenada,2,2,2017-11-12 00:30:00
Spain,Costa Rica,5,0,2017-11-11 21:30:00
Dominican Republic,Nicaragua,1,0,2017-11-11 21:00:00
Qatar,Czech Republic,0,1,2017-11-11 17:30:00
Comoros,Madagascar,1,1,2017-11-11 15:00:00
Namibia,Zimbabwe,3,1,2017-11-11 15:00:00
England,Russia,2,1,2017-11-11 14:00:00
Russia,Argentina,0,1,2017-11-11 14:00:00
Malawi,Lesotho,1,1,2017-11-11 13:30:00
Portugal,Saudi Arabia,3,0,2017-11-10 21:45:00
England,Germany,0,0,2017-11-10 21:00:00
France,Wales,2,0,2017-11-10 21:00:00
Belgium,Mexico,3,3,2017-11-10 20:45:00
Poland,Uruguay,0,0,2017-11-10 20:45:00
Ukraine,Slovakia,2,1,2017-11-10 19:00:00
Georgia,Cyprus,1,0,2017-11-10 14:00:00
United Arab Emirates,Haiti,0,1,2017-11-10 13:55:00
Japan,Brazil,1,3,2017-11-10 13:00:00
China,Serbia,0,2,2017-11-10 12:35:00
South Korea,Colombia,2,1,2017-11-10 12:00:00
Belarus,Lithuania,0,0,2017-11-10 10:30:00
Scotland,Netherlands,0,1,2017-11-09 20:45:00
Luxembourg,Hungary,2,1,2017-11-09 20:00:00
Iran,Panama,2,1,2017-11-09 19:30:00
Romania,Turkey,2,0,2017-11-09 19:15:00
Finland,Estonia,3,0,2017-11-09 18:00:00
Netherlands,Czech Republic,1,4,2017-11-09 18:00:00
Netherlands,Italy,2,1,2017-11-09 16:00:00
Armenia,Belarus,4,1,2017-11-09 15:00:00
Belgium,Ireland,3,0,2017-11-09 14:00:00
Hong Kong,Bahrain,0,2,2017-11-09 13:00:00
Cambodia,Myanmar,1,2,2017-11-09 12:30:00
Singapore,Lebanon,0,1,2017-11-09 12:30:00
Austria,Poland,0,1,2017-11-09 11:00:00
Nicaragua,Dominican Republic,0,3,2017-11-09 01:30:00
England,Portugal,3,2,2017-11-08 20:00:00
Iceland,Czech Republic,1,2,2017-11-08 15:45:00
Congo,Benin,1,1,2017-11-08 15:30:00
Saudi Arabia,Latvia,2,0,2017-11-07 18:00:00
Bermuda,Barbados,2,3,2017-10-29 01:00:00
Grenada,Panama,0,5,2017-10-25 01:00:00
Saudi Arabia,Ghana,0,3,2017-10-10 19:15:00
Italy,Morocco,4,0,2017-10-10 18:30:00
Qatar,Curacao,1,2,2017-10-10 18:00:00
Russia,Iran,1,1,2017-10-10 18:00:00
Gabon,Benin,0,1,2017-10-10 16:00:00
Morocco,South Korea,3,1,2017-10-10 15:30:00
Georgia,Finland,2,0,2017-10-10 15:00:00
Japan,Haiti,3,3,2017-10-10 12:30:00
Slovakia,England,2,2,2017-10-09 17:00:00
Equatorial Guinea,Mauritius,3,1,2017-10-09 13:00:00
Canada,El Salvador,0,1,2017-10-08 23:00:00
Georgia,Finland,2,1,2017-10-08 15:00:00
Thailand,Kenya,1,0,2017-10-08 14:30:00
Grenada,Guyana,1,0,2017-10-07 23:00:00
Saudi Arabia,Jamaica,5,2,2017-10-07 19:15:00
Russia,South Korea,4,2,2017-10-07 16:00:00
Tanzania,Malawi,1,1,2017-10-07 16:00:00
Belgium,Russia,2,1,2017-10-07 13:00:00
Mauritania,Comoros,0,1,2017-10-06 20:00:00
Slovakia,Greece,0,1,2017-10-06 16:00:00
Japan,New Zealand,2,1,2017-10-06 12:20:00
Hungary,Italy,2,6,2017-10-05 20:00:00
Iraq,Kenya,2,1,2017-10-05 18:00:00
Qatar,Singapore,3,1,2017-10-05 18:00:00
Iran,Togo,2,0,2017-10-05 16:45:00
Wales,Switzerland,0,2,2017-10-05 16:00:00
Hong Kong,Laos,4,0,2017-10-05 14:00:00
Myanmar,Thailand,1,3,2017-10-05 14:00:00
Oman,Jordan,1,1,2017-10-04 17:15:00
Indonesia,Cambodia,3,1,2017-10-04 16:30:00
Uganda,Madagascar,1,2,2017-10-04 15:00:00
Botswana,Ethiopia,2,0,2017-09-30 17:00:00
Cyprus,Slovakia,1,0,2017-09-19 15:00:00
Bulgaria,Bosnia and Herzegovina,0,2,2017-09-14 09:30:00
Finland,Austria,1,1,2017-09-06 09:00:00
England,Germany,1,3,2017-09-05 20:45:00
Mauritania,Niger,0,2,2017-09-05 19:00:00
Montenegro,Bosnia and Herzegovina,1,1,2017-09-05 17:30:00
Italy,Russia,2,1,2017-09-05 15:30:00
Northern Ireland,Cyprus,1,0,2017-09-05 14:00:00
Italy,Slovenia,4,1,2017-09-04 21:15:00
Austria,Croatia,1,1,2017-09-04 18:00:00
Wales,Iceland,0,1,2017-09-04 18:00:00
Finland,Netherlands,0,9,2017-09-04 17:30:00
Serbia,Israel,3,1,2017-09-04 17:00:00
Greece,Latvia,5,0,2017-09-04 16:00:00
Togo,Malawi,0,1,2017-09-04 16:00:00
Ukraine,Hungary,2,1,2017-09-04 16:00:00
Montenegro,Scotland,3,2,2017-09-04 15:30:00
Ireland,Czech Republic,2,1,2017-09-04 14:00:00
Belarus,Estonia,0,1,2017-09-04 12:00:00
Belgium,Portugal,1,3,2017-09-04 12:00:00
Northern Ireland,Cyprus,0,0,2017-09-03 20:00:00
Equatorial Guinea,Benin,1,2,2017-09-03 17:00:00
Canada,Jamaica,2,0,2017-09-03 01:00:00
Mozambique,Kenya,1,1,2017-09-02 18:00:00
Indonesia,Fiji,0,0,2017-09-02 11:00:00
Austria,Finland,2,2,2017-09-01 20:20:00
Spain,Italy,3,0,2017-09-01 19:30:00
France,Chile,1,1,2017-09-01 18:30:00
Germany,Hungary,1,2,2017-09-01 18:00:00
Portugal,Netherlands,2,2,2017-09-01 14:00:00
Albania,Georgia,0,1,2017-09-01 10:00:00
Togo,Niger,2,0,2017-08-31 21:00:00
Switzerland,Germany,0,0,2017-08-31 18:30:00
Kenya,Mauritania,1,1,2017-08-31 18:00:00
Slovenia,Kazakhstan,1,0,2017-08-31 17:30:00
Czech Republic,Turkey,1,1,2017-08-31 17:00:00
Israel,Montenegro,1,1,2017-08-31 17:00:00
Serbia,Scotland,3,1,2017-08-31 17:00:00
Singapore,Hong Kong,1,1,2017-08-31 13:30:00
Portugal,Finland,3,0,2017-08-30 17:30:00
Afghanistan,Oman,0,2,2017-08-30 17:15:00
Netherlands,Belgium,1,2,2017-08-30 12:00:00
Bahrain,Jordan,0,0,2017-08-29 18:00:00
Myanmar,Malaysia,1,0,2017-08-29 11:30:00
Iraq,Syria,1,1,2017-08-26 17:00:00
Uzbekistan,Kyrgyzstan,5,0,2017-08-25 17:00:00
Trinidad and Tobago,Jamaica,1,2,2017-08-25 02:00:00
India,Saint Kitts and Nevis,1,1,2017-08-24 16:30:00
Qatar,Turkmenistan,2,1,2017-08-23 19:00:00
Malaysia,Syria,1,2,2017-08-22 14:45:00
Mauritius,Saint Kitts and Nevis,1,1,2017-08-22 14:00:00
India,Mauritius,2,1,2017-08-19 16:30:00
Andorra,Qatar,0,1,2017-08-16 19:00:00
Moldova,Cyprus,2,1,2017-08-09 18:00:00
Rwanda,Sudan,2,1,2017-08-07 15:30:00
Zambia,Ethiopia,0,0,2017-08-05 15:00:00
Ecuador,Trinidad and Tobago,3,1,2017-07-27 02:30:00
Grenada,Barbados,0,2,2017-07-07 01:30:00
Dominica,Saint Vincent and the Grenadines,2,2,2017-07-06 23:30:00
Saint Lucia,Dominica,0,0,2017-07-05 01:30:00
Saint Vincent and the Grenadines,Barbados,4,2,2017-07-04 23:30:00
Grenada,Saint Vincent and the Grenadines,4,3,2017-07-03 23:00:00
Barbados,Saint Lucia,1,1,2017-07-03 21:00:00
Qatar,Uzbekistan,0,1,2017-07-02 19:00:00
Cambodia,Hong Kong,0,1,2017-07-02 10:30:00
Mexico,Paraguay,2,1,2017-07-02 02:30:00
United States,Ghana,2,1,2017-07-01 22:45:00
Grenada,Saint Lucia,2,0,2017-07-01 01:30:00
Dominica,Barbados,2,1,2017-06-30 23:30:00
Qatar,Kyrgyzstan,3,3,2017-06-30 19:00:00
Myanmar,Hong Kong,2,1,2017-06-30 13:30:00
Mexico,Ghana,1,0,2017-06-29 03:00:00
Grenada,Dominica,1,1,2017-06-29 01:30:00
Saint Vincent and the Grenadines,Saint Lucia,1,2,2017-06-28 23:30:00
Curacao,Nicaragua,0,0,2017-06-18 02:00:00
Portugal,Japan,3,1,2017-06-16 19:00:00
United States,Norway,1,2,2017-06-16 17:00:00
Portugal,Norway,3,0,2017-06-14 19:00:00
Japan,United States,2,0,2017-06-14 17:00:00
Peru,Jamaica,3,1,2017-06-14 02:30:00
Ecuador,El Salvador,3,0,2017-06-14 02:00:00
Canada,Curacao,2,1,2017-06-14 01:30:00
France,England,3,2,2017-06-13 21:00:00
Cameroon,Colombia,0,4,2017-06-13 20:30:00
Romania,Chile,3,2,2017-06-13 20:00:00
Norway,Sweden,1,1,2017-06-13 19:45:00
South Africa,Zambia,1,2,2017-06-13 19:00:00
Indonesia,Puerto Rico,0,0,2017-06-13 16:30:00
Singapore,Argentina,0,6,2017-06-13 14:00:00
Australia,Brazil,0,4,2017-06-13 12:05:00
Montenegro,Georgia,3,2,2017-06-12 20:30:00
Latvia,Estonia,1,2,2017-06-12 18:45:00
Austria,Hungary,2,1,2017-06-12 18:00:00
Belarus,New Zealand,1,0,2017-06-12 18:00:00
Bulgaria,Greece,0,1,2017-06-12 17:30:00
Grenada,Bermuda,1,2,2017-06-10 23:00:00
Ukraine,Poland,0,0,2017-06-10 15:00:00
Sweden,Denmark,0,2,2017-06-10 14:00:00
Thailand,Iraq,1,1,2017-06-10 14:00:00
England,Iceland,3,0,2017-06-10 12:00:00
Russia,Chile,1,1,2017-06-09 18:00:00
Serbia,Greece,3,1,2017-06-09 18:00:00
Brazil,Argentina,0,1,2017-06-09 12:05:00
Ecuador,Venezuela,1,1,2017-06-09 02:30:00
Peru,Paraguay,1,0,2017-06-08 23:00:00
Grenada,Bermuda,2,2,2017-06-08 22:00:00
France,Cameroon,3,1,2017-06-08 21:00:00
Czech Republic,Azerbaijan,2,1,2017-06-08 18:30:00
Denmark,Greece,0,1,2017-06-08 18:00:00
Bulgaria,Georgia,1,0,2017-06-08 17:30:00
Ukraine,Finland,0,0,2017-06-08 17:00:00
Ukraine,Poland,2,0,2017-06-08 16:00:00
Hungary,Sweden,1,1,2017-06-08 14:00:00
Slovenia,Montenegro,2,3,2017-06-08 14:00:00
Cambodia,Indonesia,0,2,2017-06-08 13:30:00
Bolivia,Nicaragua,3,2,2017-06-07 23:00:00
Spain,Colombia,2,2,2017-06-07 21:30:00
Italy,Uruguay,3,0,2017-06-07 20:45:00
Iraq,South Korea,0,0,2017-06-07 19:00:00
Finland,Liechtenstein,1,1,2017-06-07 18:00:00
Georgia,Saint Kitts and Nevis,3,0,2017-06-07 18:00:00
Czech Republic,Slovenia,1,1,2017-06-07 17:00:00
United Arab Emirates,Laos,4,0,2017-06-07 15:00:00
Hong Kong,Jordan,0,0,2017-06-07 14:00:00
Switzerland,Liechtenstein,4,0,2017-06-07 14:00:00
China,Philippines,8,1,2017-06-07 13:35:00
Japan,Syria,1,1,2017-06-07 12:25:00
Algeria,Guinea,2,1,2017-06-06 23:00:00
Bahrain,Palestine,0,2,2017-06-06 21:00:00
Qatar,North Korea,2,2,2017-06-06 21:00:00
Denmark,Germany,1,1,2017-06-06 20:45:00
Israel,Moldova,1,1,2017-06-06 19:30:00
Afghanistan,Maldives,2,1,2017-06-06 19:00:00
Ukraine,Malta,0,1,2017-06-06 19:00:00
Ukraine,Montenegro,2,1,2017-06-06 17:00:00
Uzbekistan,Thailand,2,0,2017-06-06 17:00:00
India,Nepal,2,0,2017-06-06 15:30:00
Singapore,Myanmar,1,1,2017-06-06 15:00:00
Finland,Slovenia,1,0,2017-06-06 14:00:00
Senegal,Uganda,0,0,2017-06-05 23:00:00
Egypt,Libya,1,0,2017-06-05 22:00:00
Albania,France,0,3,2017-06-05 21:05:00
Belgium,Czech Republic,2,1,2017-06-05 20:45:00
Hungary,Russia,0,3,2017-06-05 20:30:00
Israel,Serbia,0,0,2017-06-05 18:35:00
Congo,Botswana,2,0,2017-06-05 18:00:00
Liberia,Sierra Leone,1,0,2017-06-05 18:00:00
Azerbaijan,Czech Republic,0,5,2017-06-05 17:00:00
Montenegro,Iran,1,2,2017-06-04 20:30:00
Netherlands,Cote d'Ivoire,5,0,2017-06-04 19:30:00
Ireland,Uruguay,3,1,2017-06-04 19:00:00
Luxembourg,Albania,2,1,2017-06-04 19:00:00
Armenia,Saint Kitts and Nevis,5,0,2017-06-04 18:00:00
Togo,Comoros,2,0,2017-06-04 18:00:00
Armenia,Moldova,1,0,2017-06-04 17:00:00
Gabon,Zambia,0,0,2017-06-04 16:30:00
Lesotho,Mauritania,1,0,2017-06-04 12:00:00
United States,Venezuela,1,1,2017-06-04 04:00:00
Portugal,Cyprus,4,0,2017-06-03 17:00:00
Ethiopia,Uganda,0,0,2017-06-03 15:00:00
Chile,Burkina Faso,3,0,2017-06-03 02:30:00
Nicaragua,Bolivia,0,1,2017-06-03 02:30:00
France,Paraguay,5,0,2017-06-02 21:00:00
Northern Ireland,New Zealand,1,0,2017-06-02 20:45:00
Oman,Syria,1,1,2017-06-02 20:30:00
Mexico,Ireland,3,1,2017-06-02 02:30:00
Iraq,Jordan,1,0,2017-06-01 21:00:00
Switzerland,Belarus,1,0,2017-06-01 20:45:00
Togo,Nigeria,0,3,2017-06-01 19:00:00
Czech Republic,Cyprus,1,0,2017-06-01 16:00:00
Italy,San Marino,8,0,2017-05-31 21:30:00
Cote d'Ivoire,Benin,1,1,2017-05-31 19:30:00
Morocco,Netherlands,1,2,2017-05-31 19:30:00
Russia,Belarus,7,0,2017-05-31 18:00:00
Fiji,Solomon Islands,1,0,2017-05-28 05:00:00
Mexico,Croatia,1,2,2017-05-28 01:30:00
Honduras,El Salvador,2,2,2017-05-28 01:00:00
Uzbekistan,Russia,3,4,2017-05-27 15:30:00
Ghana,Benin,1,1,2017-05-25 12:00:00
Fiji,Solomon Islands,1,1,2017-05-25 09:00:00
Benin,Burkina Faso,2,2,2017-05-21 17:00:00
Serbia,Czech Republic,3,1,2017-05-18 12:00:00
Egypt,Yemen,1,0,2017-05-13 16:45:00
Senegal,Mauritania,2,0,2017-05-11 19:30:00
Cyprus,Armenia,0,1,2017-05-11 15:00:00
Vietnam,Argentina,1,4,2017-05-10 14:00:00
Cyprus,Armenia,1,2,2017-05-09 15:00:00
Saint Kitts and Nevis,Barbados,2,1,2017-05-07 02:00:00
Burkina Faso,Benin,1,1,2017-05-04 12:00:00
Grenada,Trinidad and Tobago,2,2,2017-04-30 01:30:00
Kenya,Malawi,0,0,2017-04-18 14:00:00
South Korea,Ecuador,0,2,2017-03-30 12:00:00
Zambia,Honduras,4,1,2017-03-30 09:00:00
France,Spain,0,2,2017-03-28 21:00:00
Austria,Finland,1,1,2017-03-28 20:45:00
Ireland,Iceland,0,1,2017-03-28 20:45:00
Netherlands,Italy,1,2,2017-03-28 20:45:00
Portugal,Sweden,2,3,2017-03-28 20:45:00
Scotland,Estonia,0,0,2017-03-28 20:30:00
Cameroon,Guinea,1,2,2017-03-28 20:00:00
Luxembourg,Cape Verde,0,2,2017-03-28 20:00:00
Morocco,Tunisia,1,0,2017-03-28 20:00:00
Mozambique,Lesotho,1,0,2017-03-28 19:00:00
South Africa,Angola,0,0,2017-03-28 19:00:00
Albania,Bosnia and Herzegovina,1,2,2017-03-28 18:00:00
Egypt,Togo,3,0,2017-03-28 18:00:00
Estonia,Croatia,3,0,2017-03-28 18:00:00
Germany,Portugal,0,1,2017-03-28 18:00:00
Russia,Belgium,3,3,2017-03-28 18:00:00
Russia,Norway,2,0,2017-03-28 18:00:00
Slovakia,Serbia,2,1,2017-03-28 17:20:00
Lithuania,Latvia,3,0,2017-03-28 17:00:00
Georgia,Latvia,5,0,2017-03-28 16:00:00
Turkey,Azerbaijan,4,0,2017-03-28 16:00:00
Iceland,Saudi Arabia,3,1,2017-03-28 15:00:00
