Team1,Team2,Score1,Score2,Date/Time
Denmark,Senegal,1,1,2002-06-06 15:30:00
Cameroon,Saudi Arabia,1,0,2002-06-06 18:00:00
France,Uruguay,0,0,2002-06-06 20:30:00
Sweden,Nigeria,2,1,2002-06-07 15:30:00
Argentina,England,0,1,2002-06-07 20:30:00
Spain,Paraguay,3,1,2002-06-07 18:00:00
South Africa,Slovenia,1,0,2002-06-08 15:30:00
Brazil,China,4,0,2002-06-08 20:30:00
Italy,Croatia,1,2,2002-06-08 18:00:00
Costa Rica,Turkey,1,1,2002-06-09 18:00:00
Japan,Russia,1,0,2002-06-09 20:30:00
Mexico,Ecuador,2,1,2002-06-09 15:30:00
South Korea,United States,1,1,2002-06-10 15:30:00
Portugal,Poland,4,0,2002-06-10 20:30:00
Tunisia,Belgium,1,1,2002-06-10 18:00:00
Denmark,France,2,0,2002-06-11 15:30:00
Senegal,Uruguay,3,3,2002-06-11 15:30:00
Saudi Arabia,Ireland,0,3,2002-06-11 20:30:00
Cameroon,Germany,0,2,2002-06-11 20:30:00
Sweden,Argentina,1,1,2002-06-12 15:30:00
Nigeria,England,0,0,2002-06-12 15:30:00
Slovenia,Paraguay,1,3,2002-06-12 20:30:00
South Africa,Spain,2,3,2002-06-12 20:30:00
Costa Rica,Brazil,2,5,2002-06-13 15:30:00
Turkey,China,3,0,2002-06-13 15:30:00
Ecuador,Croatia,1,0,2002-06-13 20:30:00
Mexico,Italy,1,1,2002-06-13 20:30:00
Tunisia,Japan,0,2,2002-06-14 15:30:00
Portugal,South Korea,0,1,2002-06-14 20:30:00
Poland,United States,3,1,2002-06-14 20:30:00
Belgium,Russia,3,2,2002-06-14 15:30:00
Denmark,England,0,3,2002-06-15 20:30:00
Germany,Paraguay,1,0,2002-06-15 15:30:00
Spain,Ireland,1,1,2002-06-16 20:30:00
Sweden,Senegal,1,2,2002-06-16 15:30:00
Brazil,Belgium,2,0,2002-06-17 20:30:00
Mexico,United States,0,2,2002-06-17 15:30:00
Japan,Turkey,0,1,2002-06-18 15:30:00
