Team1,Team2,Rounds,Stadium,City,Time,Day,Month,Year,Score1,Score2,Remarks
Japan,Colombia,Group Phase,Arena Pantanal,Cuiaba,16:00,24,6,2014,1,4,
Greece,Côte d'Ivoire,Group Phase,Estadio Castelao,Fortaleza,17:00,24,6,2014,2,1,
Nigeria,Argentina,Group Phase,Estadio Beira-Rio,Porto Alegre,13:00,25,6,2014,2,3,
Bosnia and Herzegovina,IR Iran,Group Phase,Arena Fonte Nova,Salvador,13:00,25,6,2014,3,1,
Honduras,Switzerland,Group Phase,Arena Amazonia,Manaus,16:00,25,6,2014,0,3,
Ecuador,France,Group Phase,Estadio do Maracana,Rio De Janeiro,17:00,25,6,2014,0,0,
USA,Germany,Group Phase,Arena Pernambuco,Recife,13:00,26,6,2014,0,1,
Portugal,Ghana,Group Phase,Estadio Nacional,Brasilia,13:00,26,6,2014,2,1,
Korea Republic,Belgium,Group Phase,Arena de Sao Paulo,Sao Paulo,17:00,26,6,2014,0,1,
Algeria,Russia,Group Phase,Arena da Baixada,Curitiba,17:00,26,6,2014,1,1,
Brazil,Chile,Round of 16,Estadio Mineirao,Belo Horizonte,13:00,28,6,2014,1,1,Brazil win on penalties (3 - 2)
Colombia,Uruguay,Round of 16,Estadio do Maracana,Rio De Janeiro,17:00,28,6,2014,2,0,
France,Nigeria,Round of 16,Estadio Nacional,Brasilia,13:00,30,6,2014,2,0,
Germany,Algeria,Round of 16,Estadio Beira-Rio,Porto Alegre,17:00,30,6,2014,2,1,Germany win after extra time
Brazil,Colombia,Quarter Finals,Estadio Castelao,Fortaleza,17:00,4,7,2014,2,1,
France,Germany,Quarter Finals,Estadio do Maracana,Rio De Janeiro,13:00,4,7,2014,0,1,
Brazil,Germany,Semi Finals,Estadio Mineirao,Belo Horizonte,17:00,8,7,2014,1,7,
Brazil,Netherlands,Play-off for third place,Estadio Nacional,Brasilia,17:00,12,7,2014,0,3,
Germany,Argentina,Finals,Estadio do Maracana,Rio De Janeiro,16:00,13,7,2014,1,0,Germany win after extra time
Netherlands,Argentina,Semi Finals,Arena de Sao Paulo,Sao Paulo,17:00,9,7,2014,0,0,Argentina win on penalties (2 - 4)
Netherlands,Costa Rica,Quarter Finals,Arena Fonte Nova,Salvador,17:00,5,7,2014,0,0,Netherlands win on penalties (4 - 3)
Argentina,Belgium,Quarter Finals,Estadio Nacional,Brasilia,13:00,5,7,2014,1,0,
